Plaintext,Ciphertext
on model,5be102a9e69120d0
s have a,36f220e9f1962739
n encode,fac03902229de6e2
rdecoder,d2504d4ea6e33efb
 structu,2b07f6ed4c90618d
re  5235,c133b032406881df
 Here th,c072b363b7ffc788
e encode,f1757a6f95ba2aeb
r maps a,22b6c3662e69d0d8
n input ,b91b96c6d0c3a7a0
sequence,fbec94ea3ff9c4b9
 of symb,26a5f0b4162a0947
ol repre,ef8f35e6e927b1c1
sentatio,1a4296c8d9b6d612
ns x1  x,3927d22954955634
 nto a s,ebe65b42eed0c082
equence ,ec3e99c6b5b8d167
of conti,08e762a70023b842
nuous re,d0caca7bd306797e
presenta,83a2777cf81f0650
tions z ,512279903a5f12bb
z1  z n ,a0ad931949708211
Given z ,8c5ac95b3e0e7b4a
the deco,dfda6133e1c95a70
der then,e315f344cceb726c
 generat,8bb45d020d942fbe
es an ou,9181141fbfee3200
tput seq,31208addc7e8b8f9
uence y1,7f474d3c0298da0d
  y mof ,c0fcb2ddaeac12e6
symbols ,35db47c3cc7838fd
one elem,f0a5e8aa2eb59b60
ent at a,37cdf244e948b7de
 time At,1c43c9e01af40554
 each st,66e4f8a0b8845747
ep the m,78ab35778fac7e16
odel is ,8b574baeef6f5fa3
autoregr,d214e389701d4d2e
essive 1,50887cb21eece40e
0 consum,53bedb1d2e82769a
ing the ,cadec4802733589d
previous,b0985258825ff482
ly gener,fb7def5c08461585
ated sym,92e93601a05782c3
bols as ,603ffe449785d898
addition,6571d13488835fb8
al input,a319121f94949510
 when ge,142a48a4dcf55d1e
nerating,b29d99373fe89313
 the nex,b84f21dbd0b2966a
t 2Figur,608b4bbef7d61eec
e 1 The ,9b4a516429a9ffc7
Transfor,424b1b5b4e494fa8
mer  mod,bbee5157634a6fbf
el archi,fc46cdbf0329d45a
tecture ,2148cc3b84691169
The Tran,63807cf62e0d95bb
sformer ,ce448f6ad4ccbfdd
follows ,c1401a77587984de
this ove,02199a1d0f4f24e5
rall arc,2afdff3fba2a7dbc
hitectur,04fdd03b47c38fa8
e using ,e1d24d97eb1e2d78
stacked ,0ba16defe7bdfed1
selfatte,9ecc7b7515a56215
ntion an,1aefadce842d6048
d pointw,e5b702285e881374
ise full,bc8532f006359b53
y connec,0733a085f4d0a32d
ted laye,4c0070d1bddd8d24
rs for b,586997847688501d
oth the ,290f3f52cef7b1a8
encoder ,dcc5fc4782fc3744
and deco,38766e8b87680387
der show,e06aa4060b61d33c
n in the,3754ef49b08e263c
 left an,35c1889cf8c1d474
d right ,3c8a0a9d009272a2
halves o,a66b7122b7b3222c
f Figure,bf839eb55540f0b3
 1 respe,47796cafe539ca44
ctively ,661dc1f834dea8de
31 Encod,0e8d29c9d474c6c1
er and D,0da471001c878219
ecoder S,da60fcafadd04623
tacks En,37b67933a987b4a8
coder Th,71a0a52b56756f74
e encode,f1757a6f95ba2aeb
r is com,ae7edbe172d1f99f
posed of,2b305f996c8dd2dc
 a stack,5b68a17976e04796
 of N 6 ,fdaa741e3e330dfa
identica,af3ab1dc62686048
l layers,d6809eafd85bdc45
 Each la,81fa8e405d394e91
yer has ,ea47d42ada0ac55e
two subl,ba4f9894f6554d08
ayers Th,2875c8efd6be83da
e first ,24d5eb45657f2697
is a mul,ab5942cd9446788b
tihead s,ba8936137b8c085c
elfatten,36e84484fc554133
tion mec,18a9a9491d789256
hanism a,e412a18b981f1bc9
nd the s,f41c03d21816d094
econd is,41e7c35da49da5a4
 a simpl,6064604224b7a71e
e positi,136c60865638a084
on wise ,f21bbc9c9fd9cf7d
fully co,e0003b1cee485d25
nnected ,db6f1a66f84ed531
feedforw,28df6e6a50c87246
ard netw,dcdf4701e78c1e45
ork We e,e5073b5e063e3df7
mploy a ,149973643d42aec0
residual,0b89f40c0ab6e7b0
 connect,07262f7d449ebbda
ion  11 ,588f8068b1990d16
around e,de3416edec76a5a1
ach of t,05c57642ea2c1178
he two s,179975df93d3d6af
ublayers,36cdedb9c220645b
 followe,737cdacf63a430c6
d by lay,b255bec62ba7adf8
er norma,a40b31e776ddc0fd
lization,d39a7936ea708854
  1 That,69cb622396570f02
 is the ,61313dd0ca003722
output o,1d6c07516da72e27
f each s,0bf9bd19d9a6ead0
ublayer ,62f212921b4ac513
is Layer,6040c928c1c99d0d
Norm x S,0526c33ad2beb515
ublayer ,62f212921b4ac513
x where ,2fe76330f75eab55
Sublayer,be8a5c2ee5228e3e
 xis the,1a31ea6b9567f639
 functio,ac274ecbfca0bcf6
n implem,2fb73ede449a9d86
ented by,f40253e9dc4a2d11
 the sub,9050d848d6ca200d
layer it,add03fb93722757f
self To ,0ce1b3a6a244ce5c
facilita,4633c7285a268321
te these,0e03a95ff1ee440c
 residua,fdfc6175e5d12b7c
l connec,a9b878a004c63a65
tions al,81ffaf434d966d5c
l sublay,4d49c5ab9435a830
ers in t,62537baf5dc37e3e
he model,e06e8a9a4166f9d9
 as well,67e516038b70c804
 as the ,c77242e9a846ed45
embeddin,86adee20295df65f
g layers,e0925166bc5dd214
 produce,35c0cb14c90a764e
 outputs,c29e03f4b039c795
 of dime,66181ab69e5c9698
nsion dm,88f3fabbebaceb71
odel  51,a80914a03c1202eb
2  Decod,41c2acffb67b77cb
er The d,ecc3ee893da04870
ecoder i,46462e62fa266b88
s also c,f5610602f0c37e87
omposed ,f83d014f79274466
of a sta,f6372fc7ceb2bb2f
ck of N ,4f01f95d8fcc0ed3
6identic,48c24bd02056d411
al layer,c329602c16a42dfe
s In add,e97882d41a02e658
ition to,4846c24dd416a255
 the two,9ea69fc1c2d9eba0
 sublaye,a5f72990a62c460b
rs in ea,b4e89a43316ae2c8
ch encod,573fb3e7d59f2dad
er layer,9c8c94106f17a457
 the dec,5f9f950fa82c7571
oder ins,74273a185a6443b2
erts a t,879878999c2c79a3
hird sub,ba75d0241d9ccc4e
layer wh,dc4caca26dd50a25
ich perf,76f8891e33ccff0f
orms mul,29c82bea521ea6b9
tihead a,867335513a5e4fcb
ttention,1256dfa50ed0448a
 over th,4dccc1b38bd1e46a
e output,10873b49775f7fe0
 of the ,f66494a636e8cde4
encoder ,dcc5fc4782fc3744
stack Si,4fef6d8458a07dcb
milar to,f7f05d890d2d8cae
 the enc,c33bc1c1e0b9447d
oder we ,91fe4c05fba4fefe
employ r,fe34d7f2cd62d3b5
esidual ,a4cfb3069cfd8108
connecti,5358e7e618bdd316
ons arou,d82aab69a4cba86e
nd each ,8d4409e291474242
of the s,b293d517623e5cf1
ublayers,36cdedb9c220645b
 followe,737cdacf63a430c6
d by lay,b255bec62ba7adf8
er norma,a40b31e776ddc0fd
lization,d39a7936ea708854
 We also,24d42fcfc5687f0d
 modify ,58ea17c349ad9990
the self,aa8926d097edeb99
attentio,293abe129fc0e635
n sublay,864d292b4793c666
er in th,b0ffaea0bcea13aa
e decode,7599f6ebd2d37a77
r stack ,2781b354f90ad052
to preve,a746e5dcf06ec234
nt posit,cc1550355b4adfec
ions fro,ddc9bbf581c09cf2
m attend,4e63675fb0030267
ing to s,be346946c5564f7a
ubsequen,fd6f41ee842858a5
t positi,9ce08d6d048d2beb
ons This,89be2214360d87e9
 masking,855285b108acc234
 combine,99126541d2938aab
d with f,929a45fbc749321d
act that,6e0a9d2e78c2ede2
 the out,64a2c9ebf6cdebe5
put embe,ea25b5491fb790e3
ddings a,549e9c59a2127b59
re offse,f8e268f402d57715
t by one,74825fa9399953d6
 positio,e9e98943602491c5
n ensure,24f40156502f6910
s that t,2fa50a27c1e34c37
he predi,4b536bbc70b1f88e
ctions f,a6be32e64f58ece5
or posit,a356106c9567350c
ion ican,bf57ac8c5ebae086
 depend ,44041dc4cb36fcc4
only on ,0e4697fd9a2ec9d3
the know,69e5d65fb7afd27e
n output,48c7e0e542da541e
s at pos,89321b7272d12a48
itions l,b357922517f72499
ess than,1af281acba515c7f
 i 32 At,5bfecf668218f8cb
tention ,464d50c98f99a9cc
An atten,b61f90333475770f
tion fun,0cbde36a1d28a074
ction ca,57c02b5bc63d4a24
n be des,8c3fcd3b6fffb6d7
cribed a,69d8c3c9bdb12fef
s mappin,ed021fec937ef98c
g a quer,23ecf3b7e73e6bd2
y and a ,1522d74ffa95f3b4
set of k,6a11b447ba5d4f74
eyvalue ,bb4730a9cf9618a5
pairs to,ee075925cadf0ebf
 an outp,e6b2825dbafc8dc2
ut where,638d18dcd166dd21
 the que,bf3d49449e43696e
ry keys ,743b7bc8f9feda17
values a,e03a01c45858c9e8
nd outpu,a4e0f6cf30d29019
t are al,73d44da75036ce54
l vector,c7b0d1193aa66a94
s The ou,9ade58325dd9f0e1
tput is ,becdf4c2215d1504
computed,2b896d6490a0d844
 as a we,c040ea8c703b0784
ighted s,c6addf18e2385fa8
um 3Scal,58cbb7ca5d592d2e
ed DotPr,c735ca57f26c57ae
oduct At,c9affe6c9de08acd
tention ,464d50c98f99a9cc
 MultiHe,5fd26291d6da4aa3
ad Atten,a3902e5e92ebc654
tion Fig,9f0003d8d261fff9
ure 2 le,39c4e9f62c15a2c1
ft Scale,41a0ca3e8fa117b8
d DotPro,10415263af178529
duct Att,798b218020257f0f
ention r,900ac7480dc7836d
ight Mul,eea96fd744043bd6
tiHead A,9a35e52b1d9d4634
ttention,1256dfa50ed0448a
 consist,76f1c8c26dfb01e1
s of sev,5e13abebde4f4a9e
eral att,d583404a1ca8560f
ention l,6854034c1df239fc
ayers ru,4b6d2e8a4d703786
nning in,bc4b8708b24998aa
 paralle,c7c809ca57ac687d
l of the,dc541abe3b3e228f
 values ,f7af3eb8b7b6b7be
where th,0285d4276fce31ba
e weight,19a0759e54950079
 assigne,454d530dac1480be
d to eac,3210a908a01f15fc
h value ,4b822c0fa4555836
is compu,dc7289f23199a4ed
ted by a,3d9c34ef1e7804c6
 compati,4096871fc7c76eff
bility f,95c4f8cc9a44e71e
unction ,d3ba920445f8f94a
of the q,71be8c24fdae82a3
uery wit,a2f496e412b2be25
h the co,ffc578c62b951f9c
rrespond,52cab24e605dcbde
ing key ,60d0c1d9090224da
321 Scal,8f386fef93b6e1f8
ed DotPr,c735ca57f26c57ae
oduct At,c9affe6c9de08acd
tention ,464d50c98f99a9cc
We call ,7e7d44b2741ac8ee
our part,b45ed59dbf74bfca
icular a,cb4136e7c5d054e0
ttention,1256dfa50ed0448a
 Scaled ,a47805ddaebf34b1
DotProdu,7bd0f0fc87ef1e47
ct Atten,7f728c158cb6e56e
tion Fig,9f0003d8d261fff9
ure 2 Th,0d4d6bd421c4bf0b
e input ,06c66d3a938c65c0
consists,66427e47f67c1cf4
 of quer,94c9352bc74bf1b7
ies and ,ab9a6c53a9d0562a
keys of ,c07412709efe8c59
dimensio,453b49517b68eeb5
n dk and,3bd9438d8804e155
 values ,f7af3eb8b7b6b7be
of dimen,ea2de34f7c37a31e
sion dv ,1765f7178d94f731
We compu,b37e51af0eff51d1
te the d,3bc5a41a21ab51de
ot produ,71c9af6d1538029f
cts of t,c020330bbd23ce2a
he query,bbcc2aaa74f580e7
 with al,aa35de4667a6c6f3
l keys d,e06462c6c55ccc7e
ivide ea,6906ab95014d7815
ch bydk ,6693db5bfc621165
and appl,dfa887b2d2cf8654
y a soft,9d564965ed77304f
max func,671b3f600380be67
tion to ,9b4716effb19adcd
obtain t,dbc1ba919f9159e3
he weigh,740e3f3284a24f52
ts on th,91172c676e0cc66c
e values,5c58aa4d84ac7a3b
 In prac,6bb041a24593cdfd
tice we ,386ba0cf0166460d
compute ,d2732b5d080c28d7
the atte,b2b8d4462e836b1f
ntion fu,ac37d2b021e095d3
nction o,873eb10222bdbbf5
n a set ,31af19d1f09d626b
of queri,f6a08453190777de
es simul,06a72325d87a3dcc
taneousl,5a2eaf4789dbc12e
y packed,1a05f8f2702b5a63
 togethe,7d923bcb71eb7801
r into a,95254bb2a0bc1e04
 matrix ,20a7743cb32601a2
Q The ke,77fb901b8b2483e8
ys and v,2b3424751bdd4557
alues ar,f2a0011dbbf2e878
e also p,641e3e4e649750c3
acked to,2b6adea018155dd1
gether i,d8e3c0b7a03068c3
nto matr,633aa3ff41166dab
ices Kan,980e91faab710388
dV We co,5d6319c6fee5de3d
mpute th,806da578d885c9ab
e matrix,2a6e6837881b9e76
 of outp,4d41c41cd20f06da
uts as A,c5874f11f500ae6b
ttention,1256dfa50ed0448a
 Q K V  ,0186ce58b8856e2b
 softmax,60c0feecb3998ea4
QKT dkV ,768317281c515040
1 The tw,3f3f7f34a9a1384d
o most c,fa8bcf3cb7037e30
ommonly ,1885ced1328803e0
used att,a255ba3ef68a9cf7
ention f,6e73719f30300db8
unctions,fe8aa8a6531394f3
 are add,673980e106917023
itive at,0666712ea27afd1e
tention ,464d50c98f99a9cc
 2 and d,c4fef7c1daf019c0
otproduc,f6e92a96f89d9938
t multi ,9593d85e8f4d9367
plicativ,8ea2f435952542e7
e attent,75cef8506b1a17a2
ion Dotp,1f3b5ab3e1c5172a
roduct a,3bf99a3fa0dcf128
ttention,1256dfa50ed0448a
 is iden,fe6c3229032dcdc3
tical to,1a4da0b36e16fefd
 our alg,026145df3e944ce8
orithm e,ae2ef657c485b680
xcept fo,184e4289122037ef
r the sc,8cc912166df27124
aling fa,c8ffb9ffcf6d5c2a
ctor of1,f7f3d034664c92cb
dk Addit,46ce4345f6d17439
ive atte,9416919363588435
ntion co,d864b472d04f5500
mputes t,0890de0088c20d65
he compa,c7f72146a55aa105
tibility,6384f880989ab7df
 functio,ac274ecbfca0bcf6
n using ,6acbd5f402c136aa
a feedfo,59984baf431f1dcf
rward ne,895e3a54662ffc40
twork wi,264c92d13bf75335
th a sin,e778db79bd1f86d0
gle hidd,fcb1aaa3ba9b5cf7
en layer,6b226a15581a2435
 While t,1647f34abaa0a659
he two a,9fe83658d9e84c7a
re simil,a5e4abd5fefadf5a
ar in th,2b31eab7f0b94f1b
eoretica,eecd18e69f82e333
l comple,b69aebe83e3a8c2d
xity dot,0ee44d7b5072f091
product ,546c7761e18eb985
attentio,293abe129fc0e635
n is muc,a223d251c3f5eecf
h faster,ec21fd407e05df42
 and mor,c6281ff6a1091168
e spacee,1629d8aab0ca227e
fficient,c2fe2f629d78d171
 in prac,0c6fa76aba8f1651
tice sin,6f727778b7aad8b7
ce it ca,7609bb7f8a189442
n be imp,cd8d1e00cc14a578
lemented,4238855afda5801c
 using h,afd21b22c1587fb1
ighly op,b8e52e7f38cc323e
timized ,6bfca2d388182665
matrix m,ed62f3af23432fe9
ultiplic,ddb7da8110b61c8d
ation co,91e3e17584f8867d
de While,08ca1e94f3d74946
 for sma,13b2cd54eb0e88bb
ll value,92aed9cef93d2ce3
s of dkt,c00e9220fe885001
he two m,f002e50666319d19
echanism,b399ba2282b6ace8
s perfor,8ebb2feea117cac3
m simila,7b6634e2065f2e1d
rly addi,0eeee2281bc0d39e
tive att,086846f043c078b0
ention o,81b6be4edb2c07d7
utperfor,e09d73d467417b4f
ms dot p,6997ac4f13aac3e6
roduct a,3bf99a3fa0dcf128
ttention,1256dfa50ed0448a
 without,fe0e0a9ebf3310fb
 scaling,8b098070f233d414
 for lar,6b118bc32bc4a69b
ger valu,2fe30a8b5de1308e
es of dk,5e096bca9d9d8605
3 We sus,0a704df15aec3f7e
pect tha,a8badd6e3852b208
t for la,cde7d777bb940714
rge valu,921975a52295a34e
es of dk,5e096bca9d9d8605
 the dot,3f63b7d5f2c7a6fc
 product,b6de68b376c0c641
s grow l,a0b5dbd71a927d31
arge in ,045373919e285d25
magnitud,efb24af61bef6ecc
e pushin,604819507b70b071
g the so,5c01ea5e76a422d1
ftmax fu,7baad29aa3a842f8
nction i,66b7276c18bb951c
nto regi,adf9548ff5f37cba
ons wher,34e5226fb0344ef6
e it has,af3ccc96892fd547
 extreme,e5649dca0cda7bcb
ly small,e9ee5ec20cadbd8e
 gradien,8484f6437339bd06
ts4 To c,2eab0955412553a9
ounterac,0984acb1b8da810c
t this e,cc302c1984cf0c13
ffect we,3a543ac294beee13
 scale t,b8b587cf2070a361
he dot p,ef6417f9a2968768
roducts ,376dc70495beab71
by1dk 32,4f2a767dc3eecba4
2 MultiH,8df704593f4defa5
ead Atte,93591715944d44d4
ntion In,76e79412e6a6dca8
stead of,13932dc502e429d3
 perform,044ff582440d97ec
ing a si,c142ee0ff93c78b3
ngle att,8577db85183411ba
ention f,6e73719f30300db8
unction ,d3ba920445f8f94a
with dmo,7f09e75f02f5f831
deldimen,795025c170fe4214
sional k,8b0def888b387825
eys valu,8af4c3d8a7aff16f
es and q,5172d947bdbb4e2f
ueries w,bc6478f105cdfc7a
e found ,4403fa5dcb7589d8
it benef,032664c735606fdb
icial to,48234c9518412053
 linearl,7fb40f83934ca2e4
y projec,10fd24154182eacc
t the qu,d3457b6c8fcd888a
eries ke,dfb3579c4cac8f65
ys and v,2b3424751bdd4557
alues ht,ebb4a4490237e7dd
imes wit,0dca2412571a4f8e
h differ,8862d53c1bc76600
ent lear,59d953bf5fe7b6b4
ned line,3587fac2f52e7ec8
ar proje,72a9ce051365fe45
ctions t,1495b194720c3d80
o dkdkan,87b7c5318ea6f934
ddvdimen,9060f5bc224ec59c
sions re,91c84df8d70de0a6
spective,b1c4b03d5eb6b429
ly On ea,ca4b767c74b3cc36
ch of th,3d4d41bf392bd292
ese proj,dcadbe73a693bc43
ected ve,953ce0d997672e11
rsions o,1845af9ae180338f
f querie,86737716b4b5f0e9
s keys a,6e41dcc5c195ab61
nd value,c804a4de87e303f0
s we the,9010d858ccb5cf67
n perfor,5bbeadcc16bf45db
m the at,4e43576a0569d25b
tention ,464d50c98f99a9cc
function,00c3602336c0b6a9
 in para,f8111cd04008c9d3
llel yie,b3d1e7c6296d577a
lding dv,32d3241002e64577
dimensio,453b49517b68eeb5
nal 4To ,402e734a279ad8ba
illustra,d8be2130d0ac7bf7
te why t,f73c52db4b33e030
he dot p,ef6417f9a2968768
roducts ,376dc70495beab71
get larg,d7a3b9eac6daef86
e assume,46d39905bb2d1dcd
 that th,c435161a6526a426
e compon,2b76cb3f7d259c02
ents of ,38ee3334f7bcce6a
qandkare,1e56d994f851e7d7
 indepen,e704827c6e5c03f5
dent ran,09439010ec600078
dom vari,81536911efcb8ab6
ables wi,ad833fbe58ccd5a6
th mean ,8d2fff694e749ef4
0and var,d7e03ba438f0f8d7
iance 1 ,4064a2486a14816d
Then the,11e0c76affba0a2b
ir dot p,526ad53829845aea
roduct q,bc68b27e3fce1a10
kPdk i1q,452a088926518a7f
iki has ,bebcf28dc406fe19
mean 0an,988bcb14a6fcfe53
d varian,bb72a92a1cf9ca40
ce dk 4o,4efcc1bbd0cc4abc
utput va,83b294668cf56090
lues The,a0216e265560fc3d
se are c,9c74beb99e88dcbe
oncatena,0cc19ac8f274ef95
ted and ,994423cdef3f8213
once aga,33857bb5e51b60d3
in proje,d3bbad90978dfd67
cted res,760ae3ffafbde37c
ulting i,24e97845e396f5d5
n the fi,7c0c11aaf7f40b71
nal valu,ca0ef97e729d7bb7
es as de,3bf5ef7f3428a885
picted i,ca151369ef626d44
n Figure,19b2d999b887c3fc
 2 Multi,c99ae3d1c6b26692
head att,24f6f5a2922dc1a9
ention a,fad2e036ac547246
llows th,c4608a8065dd5438
e model ,4a85d708e81d3529
to joint,7ab2806a5a0ed109
ly atten,571508a2d77a4797
d to inf,386716c20faa35c8
ormation,20ed50fe7c85ca48
 from di,746dacca3c459786
fferent ,f2148cecdaba582b
represen,feb6b85b020990c8
tation s,a3bf4bf7120d9f30
ubspaces,faa5e33d00ee2fa2
 at diff,92d1434880b4c699
erent po,8557046538c398c8
sitions ,aab17109ba83d359
With a s,dcc2385b9bfc42eb
ingle at,506ffa7a07eccddb
tention ,464d50c98f99a9cc
head ave,85d4784d2c071419
raging i,055e71972be3d4d8
nhibits ,daacd4e9d9c4ea9d
this Mul,ce8f815240aa8f25
tiHead Q,4cfcbb62a823633b
 K V   C,25f355e56be34a8f
oncathea,4c25afe000bd2e86
d 1 head,37b8fea9955286dd
 hWO whe,1c911b2cefe0a766
re head ,6dfad3feb1797e41
i Attent,fa2a6f53e7f4c0ea
ion QWQ ,85e1543548823126
i KWK i ,65861ee7a0bdf830
V WV i W,5e34fe8b3f188dea
here the,461b9d16452df4c1
 project,4ba0f3514f51ae29
ions are,053610dea476af75
 paramet,d19e21c582103b27
er matri,fa6cc89a7316e309
ces WQ i,2b553396526abd28
Rdmodeld,847d83c8875bcb06
kWK iRdm,ca76ace08f74438d
odeldkWV,dfd3a1780d02852b
 iRdmode,18939296c2edfc4a
ldv andW,c4da5e575acabe0f
ORhdvdmo,ed24e5fb8224bae6
del In t,2c16795a1b7a169b
his work,18c79910af1ed62c
 we empl,c0cffc8ce464ac8b
oy h 8 p,77bcd212519367df
arallel ,2453973452dcaaf3
attentio,293abe129fc0e635
n layers,eb485c83eb0a36f3
 or head,6f4df748589656a1
s For ea,98025b5c9dc62dd6
ch of th,3d4d41bf392bd292
ese we u,b6ceb33205757ae3
se dkdvd,a526cacdbdd9e42d
modelh 6,cad473e754f1ced6
4  Due t,af5b6e60337ed702
o the re,857f4adf9369d7b7
duced di,53dd9457f02ddb57
mension ,1f581e75ef018962
of each ,056a6ff04c19cd8b
head the,2f3b29298d9278bd
 total c,c57a53c29de599c5
omputati,f9b821dd6912aa1e
onal cos,88836593a4b8150e
t is sim,64bd2c0f7fad3988
ilar to ,6f63a8147775d4d3
that of ,4c6531c4e06f7df8
singlehe,d9455a01d7ae7819
ad atten,f820f3ebc54850b0
tion wit,6bf2f56e796c7af1
h full d,63a2f0e845d2c594
imension,3d34f80a1cdb6892
ality 32,e4ffae90798a8b2e
3 Applic,ae4cfc3ca7ca9643
ations o,e1ec6fcb57a8e92c
f Attent,cb577d0670eaa5e7
ion in o,8da81d0eb45fa190
ur Model,6c0eecf2fed4015b
 The Tra,93f01125e3dc6479
nsformer,dc59fc09507d5d1c
 uses mu,33006b1c8d3516bc
ltihead ,850ed67e01d43ba4
attentio,293abe129fc0e635
n in thr,8656efc979a01cab
ee diffe,1640f41d371a0bd1
rent way,00da6164a08d7cf1
s In enc,dd29511f160f9d25
oderdeco,1e2ca45f815b5f88
der atte,97accf50876feb95
ntion la,37445ad45dbae0a8
yers the,6db0ae3ddb316642
 queries,9ba1e10ce206b311
 come fr,897b4ef718ec0951
om the p,7cfda8d24be5d8da
revious ,38a2c0b958c5dd43
decoder ,8e0c3018e2b55239
layer an,4070a7d21eae1179
d the me,56cb142cb31fce4b
mory key,b9055bc410893147
s and va,cf949c16346bfc17
lues com,0a011ee3bf316515
e from t,9a185e2103b3b4ae
he outpu,fa0c83b88f585fb9
t of the,55a3f2b017dd0eae
 encoder,6ed98a4dba2ba9a0
 This al,da1aaea477d93fed
lows eve,47893678baf26e68
ry posit,d29fb173bbde0ca5
ion in t,62f9501652f7c170
he decod,5b4b076ddbf35af2
er to at,8db06a9b456447ed
tend ove,13f7b838c72fb7a1
r all po,2c211a0a29157863
sitions ,aab17109ba83d359
in the i,ce779fd1e34a9f3a
nput seq,391b8de9dd8972d3
uence Th,4ce0b405865d2825
is mimic,1eb6b7a76a7a1fa4
s the ty,fd65dec252932602
pical en,697f315bf3c296ae
coderdec,6d23b70fea291492
oder att,4a2630a4f1f05f9a
ention m,c2f076fe3703ed0b
echanism,b399ba2282b6ace8
s in seq,7cd73065e612b698
uencetos,45007e9e167524ed
equence ,ec3e99c6b5b8d167
models s,e0eb519f8c94b327
uch as 3,7aa57c59e9c054e4
8 2 9 Th,1c2a8bc9b3e4a848
e encode,f1757a6f95ba2aeb
r contai,c902c46caf004eca
ns selfa,bb3362d12102a161
ttention,1256dfa50ed0448a
 layers ,5500754dd39ca776
In a sel,7036528f475c6c07
fattenti,ee2417ec9853a074
on layer,3ce7c3aba64bd105
 all of ,db61da290fc17d0e
the keys,0e6160f37966bd10
 values ,f7af3eb8b7b6b7be
and quer,80f0326e45074de4
ies come,f9c521e0d3029bdd
 from th,2ec5627d7a79a9dd
e same p,afc21c86a2c3ca1b
lace in ,9539a89ae087ba7c
this cas,11090906687a06e5
e the ou,ad1099a5622a1d1f
tput of ,a2e12ad6ce51e9c0
the prev,6ec297b696fa3c82
ious lay,baae01eac0991bde
er in th,b0ffaea0bcea13aa
e encode,f1757a6f95ba2aeb
r Each p,9e7f0ed763269985
osition ,b63cb6854bc2ec38
in the e,e31cb6f7f9fb9616
ncoder c,ffa689162fa87755
an atten,b862d3deac18cae8
d to all,0d1dccc3118c452e
 positio,e9e98943602491c5
ns in th,bf3170100707c3c0
e previo,49378f7b6746200c
us layer,79a9bdd7f671393c
 of the ,f66494a636e8cde4
encoder ,dcc5fc4782fc3744
Similarl,551c15ebf56342e0
y selfat,ac8d56eaf9974b22
tention ,464d50c98f99a9cc
layers i,35f3a09152a43557
n the de,a0073c7c8be88aac
coder al,2d879afa1ad2add2
low each,257b24a771d88932
 positio,e9e98943602491c5
n in the,3754ef49b08e263c
 decoder,e2724bea66aed807
 to atte,78259c71e8f2c1ca
nd to al,30e8adf536b145b6
l positi,b3dfb28ccdbc0af0
ons in t,4233b2e5691f341f
he decod,5b4b076ddbf35af2
er up to,9476e0f243411592
 and inc,15dd900f9a68ef58
luding t,6e2e63e9a7d7411b
hat posi,5aea0df1fcb7f3d5
tion We ,f7d365ec62b2eae5
need to ,3742d685055756e0
prevent ,18510612e162c88c
leftward,5dbcf01e62bfbb0a
 informa,a31a4b10c81707e3
tion flo,1d0aeb846e371061
w in the,7a353055088a6a36
 decoder,e2724bea66aed807
 to pres,525990c97accdbc7
erve the,1da66bc560c4e0f4
 autoreg,bdae9ceb1f636183
ressive ,5838e8e6b94d5f9c
property,c1a3986feb76490d
 We impl,dbb35d49826b11fa
ement th,1a6047b447586ef9
is insid,35d1b77709b4d866
e of sca,1b49632836679598
led dotp,4160b6fe702d91b7
roduct a,3bf99a3fa0dcf128
ttention,1256dfa50ed0448a
 by mask,bb01bfd4fc2fedec
ing out ,effd547332195e0c
setting ,e832a472eaf613d4
to  all ,2d63da36da8200b6
values i,5e59e3e2157725e8
n the in,2f6d4a622d7a6570
put of t,e339ba114077ff69
he softm,588b9a94e81da272
ax which,c5e1159b0352cf9d
 corresp,b56f83ee8db7fd1d
ond to i,3b14615f93f92c47
llegal c,717dbc1c6cb0f026
onnectio,cf61a7ef6e765ca7
ns See F,3c72c447582b7a28
igure 2 ,1480c37e075d9f8e
33 Posit,1e93efa905625923
ionwise ,af17d1712b3df98f
FeedForw,60b0d94a905f812e
ard Netw,45d6c16daca58869
orks In ,ced4203be1d688b3
addition,6571d13488835fb8
 to atte,78259c71e8f2c1ca
ntion su,91f0e22c9c57298c
blayers ,f23ff70d9d59aeac
each of ,8fde4200de39fe89
the laye,17e9d6cd9e38a6d7
rs in ou,1891d7cd49df36c8
r encode,77de051783903ad1
r and de,bd9c246443b93773
coder co,902ea97699351772
ntains a,beece2861ab06253
 fully c,3f881501d528ddaf
onnected,f08cd2a4a6250eb3
 feedfor,dbdbcf5e136f35f0
ward net,1ec15cb1df36cc74
work whi,3326bc8b6a5327c7
ch is ap,12f4d7e37903522e
plied to,afa555648735430b
 each po,5fbf9ef480b84e43
sition s,7be2c27e0706d5f4
eparatel,fd590a86249a6f3e
y and id,9061e8eb4134f006
enticall,2114b75639531321
y This c,c5aef4f5dbf215de
onsists ,70e280e2c0aaf374
of two l,917eb6b9b8fe17e2
inear tr,870d24d0a313f704
ansforma,e961466346728eaa
tions wi,e89acf93ad865019
th a ReL,45f2b6f504b1ded1
U activa,13ea04b553f00c88
tion in ,a797b3b1e76a78e2
between ,cccbb8f24e468dfd
FFN x  m,5fa80b4aedf40851
ax0  xW ,39d1021455efe984
1b1W2b2 ,c09334f4db511abe
2 While ,ba0fbd8dbf20ea1e
the line,aba3360001128cb1
ar trans,e2c05e7d8eb2da55
formatio,d18c9e73713e6190
